TITLE_ID,TITLE,AUTHOR,Language,BOOK_NO,TIMES_RENTED,Category�
196919,TO KILL A MOCKING BIRD,"Lee, Harper",English,B0971241,3,Fiction
361971,Total Fitness : The Leena Mogre Way,Leena Mogre ,English,B0970447,2,Health & Fitness
188639,HOW TO TALK TO ANYONE : 92 LITTLE TRICKS,Leil Lowndes,English,B01085747,1,Self Help
383640,"Alexander And The Wind-Up Mouse (Step Into Reading, Step 3)",Leo Lionni,English,B0971945,0,Kids
383620,"Frederick (Step Into Reading, Step 3)",Leo Lionni,English,B0971849,1,Kids
359001,First Skills : Counting (English)        (Paperback),Lesle Clark ,English,B0971690,0,Kids
359002,First Skills : Abc (English)        (Hardcover),"Lesle, Clark ",English,B0971693,0,Kids
363677,Christmas Around The World (English)        (Hardcover),Lesley Sims ,English,B0971109,0,Kids
191179,Freakonomics,"Levitt, S D/Dubner, S J",English,B0970620,1,Management
243567,Alice In Wonderland,Lewis Carroll,English,B0973152,5,Classic
373527,Alices Adventures in Wonderland,Lewis Carroll,English,B0971058,3,Classic
379361,Junior Classic - Book 1,Lewis Carroll And Susan Coolidge,English,B0972048,6,Classic
188670,PRINCE CASPIAN B format,"Lewis, C S",English,B0973555,2,Teen
188671,The Horse and his Boy B format,"Lewis, C S",English,B0972886,0,Classic
188672,The Last Battle,"Lewis, C S",English,B0973625,0,Classic
188673,"THE LION, THE WITCH & THE WARDROBE","Lewis, C S",English,B0972893,1,Teen
188674,THE MAGICIAN'S NEPHEW B FORMAT,"Lewis, C S",English,B0973460,8,Teen
188675,The Silver Chair B Format,"Lewis, C S",English,B0973556,0,Classic
188676,THE VOYAGE OF THE DAWN TREADER B FORMAT,"Lewis, C S",English,B0972889,0,Classic
229399,Light From Many Lamps,Lillian Watson,English,B0973838,2,Spritual
223849,Big Nate The Boy With The Biggest Head In The World,Lincoin Peirce,English,B0972874,1,Pre Teen
223849,Big Nate The Boy With The Biggest Head In The World,Lincoin Peirce,English,B0977709,0,Pre Teen
306163,Big Nate Boredom Buster,Lincoln Peirce,English,B0972869,0,Teen
333891,Big Nate Flips Out,Lincoln Peirce,English,B0972878,3,Pre Teen
333891,Big Nate Flips Out,Lincoln Peirce,English,B0977720,3,Pre Teen
333892,Big Nate Fun Blaster,Lincoln Peirce,English,B0972867,1,Pre Teen
334200,Big Nate here goes nothing,Lincoln Peirce,English,B0972882,3,Pre Teen
252219,Big Nate: Big Nate on a Roll,Lincoln Peirce,English,B0972866,1,Pre Teen
252219,Big Nate: Big Nate on a Roll,Lincoln Peirce,English,B0977846,1,Pre Teen
304518,Big Nate: Goes For Broke,Lincoln Peirce,English,B0977833,2,Pre Teen
360679,Big Nate : Laugh-O-Rama (English),Lincoln Peirce ,English,B0972881,0,Pre Teen
357925,GENIUS MODE (English)        (Paperback),Lincoln Peirce ,English,B0972875,4,Pre Teen
214174,The 39 Clues#09 Storm Warning,Linda Sue Park,English,B0971677,0,Pre Teen
203227,No Choice But Seduction,"Lindsey, Johanna",English,B0971555,1,Romance
203228,"Rogue of my Own, A","Lindsey, Johanna",English,B0971545,1,Fiction
367133,Crash & Burn,Lisa Gardner ,English,B0971980,2,Fiction
194693,David and the Giant (Step 2),"Little, Emily",English,B0971961,1,Kids
412062,Dog Zombies Rule : Tom Gates #11,Liz Pichon,English,B01085893,4,Pre Teen
373285,Tom Gates #9: Top of the Class,Liz Pichon,English,B0972771,9,Pre Teen
197469,Dragon Egg (Step 1),"Loehr, Mallory",English,B0971971,2,Kids
194683,Unicorn Wings (Step 2),"Loehr, Mallory",English,B0971964,1,Kids
373238,The Duke and the Lady in Red,Lorraine Heath,English,B0973789,0,Kids
271471,UFR LEVEL-2 BRER RABBIT DOWN THE WELL,Louie Stowell,English,B0970603,2,Kids
203756,Puffin Classics : Little Women (REI),Louisa May Alcott,English,B0971708,2,Classic
377854,Mirror Work: 21 Days To Heal Your Life,Louise Hay,English,B01085749,0,Self Help
372725,Messi 2016,Luca Caioli,English,B0970666,2,Autobiography
379424,Ronaldo: The Obsession For Perfection - 2016 Updated Edition        (Paperback),Luca Caioli,English,B0970643,0,Autobiography
197465,Dancing Dinos (Step 1),"Lucas, Sally",English,B0971840,1,Kids
197466,Dancing Dinos Go to School (Step 1),"Lucas, Sally",English,B0971981,0,Kids
203628,ROBERT LUDLUM'S THE BOURNE LEGACY,"Ludlum, Robert",English,B0971494,0,Fiction
188410,THE BOURNE IDENTITY,"Ludlum, Robert",English,B0971870,3,Fiction
186645,THE HISTORIC CITY OF DELHI (696),Luis Fernades,English,B0971979,0,Kids
186766,THE PRINCE AND THE MAGICIAN (743),Luis Fernandes,English,B0972010,0,Kids
385221,Bought for the Greek's Revenge (M&B June'16)Modern,Lynne Graham,English,B0976948,0,Romance
342286,Now that Youre Rich : Lets Fall in Love!,Maanvi Ahuja,English,B0971110,2,indian Writing
294663,James Watt,Macaw,English,B0973104,0,Kids
294665,Marconi,Macaw,English,B0973106,0,History
294713,The Bullfrog and the cow,Macaw,English,B0973107,2,Kids
193722,Not Without My Daughter,"Mahmoody, Betty",English,B0971541,4,Indian Writing
252405,UFR LEVEL-4 THE HARE AND THE TORTOISE,Mairi Mackinnon,English,B0970647,1,Kids
385223,The Greek's Nine-Month Redemption (M&B June'16)Modern,Maisey Yates,English,B0977099,0,Romance
383673,I Am Malala: The Girl Who Stood Up for Education and was Shot by the Taliban,Malala Yousafzai,English,B0971378,10,Autobiography
351571,Malala - The Girl who Stood Up for Education and Changed the World (English),Malala Yousafzai,English,B0971345,5,Autobiography
188286,TIPPING POINT,Malcolm Gladwell,English,B0971354,2,Management
356495,Hambreelmai's Loom,Mamang Dai,English,B0973568,0,Kids
193349,Genghis Khan,"Man, John",English,B0971489,1,Autobiography
364462,Little Red Riding Hood: Ladybird First Favourite Tales (English)        (Hardcover),Mandy Ross ,English,B0970876,0,Kids
204331,Where's that Cat?,Manjula Padmanabhan,English,B0973578,1,Kids
382655,Atti Gets a New Family,Manmeet Narang,English,B0971396,2,Kids
382654,Fenny and Mandy are Best Friends,Manmeet Narang,English,B0971420,2,Kids
383661,LIZAS DAY OUT,Manmeet Narang,English,B0971387,0,Kids
382652,Lucy Squirrel Plays Pranks,Manmeet Narang,English,B0971422,1,Kids
382649,Mollyy & Amu Escape from the Circus,Manmeet Narang,English,B0971397,0,Kids
382651,Once upon a Time in Africa,Manmeet Narang,English,B0971418,1,Kids
382657,Peppy's VIsit to the Aquarium,Manmeet Narang,English,B0971419,1,Kids
382661,Poppy Panda,Manmeet Narang,English,B0971405,0,Kids
382656,Rhea's Adventure on Her Birthday,Manmeet Narang,English,B0971395,1,Kids
383663,TANNY TURTLE FINDS HER BROTHER,Manmeet Narang,English,B0971413,0,Kids
382648,Tobby's Birthday Party,Manmeet Narang,English,B0971381,2,Kids
366740,My First Board Book Of A B C,Manoj Pub. Ed. Borad,English,B0973564,3,Kids
366741,My First Board Book of Flowers,Manoj Pub. Ed. Borad,English,B0972994,1,Kids
366744,My First Board Book of Good Habits,Manoj Pub. Ed. Borad,English,B0972997,2,Kids
366743,My First Board Book of Good Manners,Manoj Pub. Ed. Borad,English,B0972996,2,Kids
366739,My First Board Book of Numbers,Manoj Pub. Ed. Borad,English,B0972995,2,Kids
366747,My First Board Book of Opposits,Manoj Pub. Ed. Borad,English,B0972983,1,Kids
366746,My First Board Book of Sea Animals,Manoj Pub. Ed. Borad,English,B0972998,0,Kids
366742,My First Board Book of Vegetables,Manoj Pub. Ed. Borad,English,B0972993,2,Kids
362350,My First Board Book of Human Body (English)        (Hardcover),Manoj Pub. Ed. Borad ,English,B0973001,3,Kids
362355,My First Board Book of Vehicles (English)        (Hardcover),Manoj Pub. Ed. Borad ,English,B0972999,2,Kids
297552,Arthurs Reading Trick: Step Into Reading Sticker Book,Marc Tolon Brown,English,B0971969,1,Kids
197220,"NOW, DISCOVER YOUR STRENGTHS",Marcus Buckingham,English,B0970895,5,Pre Teen
281776,No Turning Back. by Marcus Sakey,Marcus Sakey,English,B0981499,1,Fiction
186456,JAWAHARLAL NEHRU (700),Margie Sastry,English,B0972008,0,Kids
186658,KALPANA CHAWLA (736),Margie Sastry,English,B0972006,2,Kids
186725,THE INIMITABLE BIRBAL (580),Margie Sastry,English,B0972009,0,Kids
216054,The Little Red Caboose,Marian Potter,English,B0971575,1,Kids
333825,Fools Die,Mario Puzo,English,B0971211,1,Fiction
222827,The Godfather,Mario Puzo,English,B0971219,0,Fiction
364512,The Sicilian,Mario Puzo ,English,B0971227,0,Fiction
352271,The Colour Of Law (English),Mark Gimenez,English,B0971505,1,History
340177,The Curious Incident of the Dog in the Night-time,Mark Haddon,English,B0971610,2,Classic
243872,The Adventures Of Huckleberry Fin,Mark Twain,English,B0973142,3,Classic
243563,The Adventures Of Tom Sawyer,Mark Twain,English,B0973140,5,Classic
383260,The Adventures Of Tom Sawyer,Mark Twain,English,B0971065,5,Pre Teen
369661,A Brief History Of Seven Killings,Marlon James ,English,B0971253,0,Fiction
192070,One Hundred Years Of Solitude,"Marquez, Gabriel Garcia",English,B0971089,1,Fiction
328588,What Got You Here Won't Get You There,Marshall Goldsmith,English,B0971461,3,Self Help
368662,Triggers: Sparking positive change and making it last,Marshall Goldsmith Mark Reiter,English,B0971510,2,Management
283705,Classic Storybook Collection Disney Tinker Bell And The Great Fairy Rescue,Marsoli Lisa,English,B0973166,5,Kids
347713,Mudhal Comrade (Tamil),Marudhan,English,B01085755,0,Regional
362255,Marvel Story Book: Iron Man is Born,Marvel,English,B0971746,5,Kids
362257,Marvel Story Book: Iron Man Origin Story,Marvel,English,B0971753,6,kids
358494,MARVEL: SUPERHERO LEGENDS        (Paperback),Marvel,English,B0971750,11,Kids
362249,The Story of Wolverine Level 2,Marvel,English,B0971743,6,kids
362250,Ultimate Spiderman Great Responsibility,Marvel,English,B0971684,4,Kids
394133,As Time Goes By,Mary Higgins Clark,English,B0998669,4,Fiction
194316,BEFORE I SAY GOODBYE,Mary Higgins Clark,English,B0973261,1,Fiction
271173,DADDYS LITTLE GIRL,Mary Higgins Clark,English,B01085756,0,Fiction
194326,NIGHT TIME IS MY TIME,Mary Higgins Clark,English,B0970904,3,Fiction
194334,STILLWATCH MM,Mary Higgins Clark,English,B0970901,1,Fiction
194334,STILLWATCH MM,Mary Higgins Clark,English,B0973263,1,Fiction
353290,TWO LITTLE GIRLS IN BLUE (English),Mary Higgins Clark,English,B0973335,4,Kids
194525,YOU BELONG TO ME,Mary Higgins Clark,English,B0970898,2,Fiction
363643,No Place Like Home,Mary Higgins Clark ,English,B0971226,2,Fiction
368630,The Cinderella Murder,Mary Higgins Clark ,English,B0970919,3,Fiction
407180,The Sleeping Beauty Killer,Mary Higgins Clark And Alafair Burke,English,B01007680,3,Fiction
352264,A Ghost Tale for Christmas Time (English),Mary Pope Osborne,English,B0971563,0,Kids
352265,Leprechaun in Late Winter (English),Mary Pope Osborne,English,B0971927,1,Kids
348732,Magic Tree House #46: Dogs in the Dead of Night,Mary Pope Osborne,English,B0971590,1,Kids
383508,Ladybird Classics: Frankenstein,Mary Shelley,English,B0970782,9,Kids
190458,Contest,Matthew Reilly,English,B0970824,0,Fiction
205751,Ice Station,Matthew Reilly,English,B0970825,1,Fiction
311050,Scarecrow and the Army of Thieves,Matthew Reilly,English,B0973050,1,Fiction
247335,Little Critter Sleeps Over (Little Critter) (Step 2),"Mayer, Mercer",English,B0971960,0,Teen
359127,Judy Moody Saves the World! (English)        (Paperback),"Mcdonald  ,  Megan ",English,B0971322,2,Pre Teen
353420,Judy Moody Gets Famous! (English),"Mcdonald, Megan",English,B0971327,1,Pre Teen
353381,Beautiful Oblivion (English),Mcguire Jamie,English,B0970910,1,Romance
247312,Dinosaur Hunters (Step 5),"Mcmullan, Kate",English,B0971965,4,Kids
68726,RAINBOW MAGIC : THE GREEN FAIRIES : 83: MILLY THE RIVER FAIRY,"Meadows, Daisy",English,B0971919,3,Kids
68725,RAINBOW MAGIC : THE GREEN FAIRIES: 84:CARIE THE SNOW CAP FAIRY,"Meadows, Daisy",English,B0971859,2,Kids
68728,RAINBOW MAGIC: THE GREEN FAIRIES: 81: CORAL THE REEF FAIRY,"Meadows, Daisy",English,B0971917,3,Kids
68737,RAINBOW MAGIC: THE MAGICAL ANIMAL FAIRIES: 72: LARA THE BLACK CAT FAIRY,"Meadows, Daisy",English,B0971902,1,Kids
68736,RAINBOW MAGIC: THE MAGICAL ANIMAL FAIRIES: 73: ERIN THE FIREBIRD FAIRY,"Meadows, Daisy",English,B0971903,1,Kids
68735,RAINBOW MAGIC: THE MAGICAL ANIMAL FAIRIES: 74: RIHANNA THE SEAHORSE FAIRY,"Meadows, Daisy",English,B0971904,0,Kids
68734,RAINBOW MAGIC: THE MAGICAL ANIMAL FAIRIES: 75: SOPHIA THE SNOW SWAN FAIRY,"Meadows, Daisy",English,B0971905,2,Kids
203681,RAINBOW MAGIC: THE OCEAN FAIRIES: 90: WHITNEY THE WHALE FAIRY,"Meadows, Daisy",English,B0971892,3,Kids
147630,RAINBOW MAGIC: THE TWILIGHT FAIRIES: 93: LEXI THE FIREFLY FAIRY,"Meadows, Daisy",English,B0971895,1,Kids
147631,RAINBOW MAGIC: THE TWILIGHT FAIRIES: 94: ZARA THE STARLIGHT FAIRY,"Meadows, Daisy",English,B0971894,2,Kids
147632,RAINBOW MAGIC: THE TWILIGHT FAIRIES: 95: MORGAN THE MIDNIGHT FAIRY,"Meadows, Daisy",English,B0971863,2,Kids
147633,RAINBOW MAGIC: THE TWILIGHT FAIRIES: 96: YASMIN THE NIGHT OWL FAIRY,"Meadows, Daisy",English,B0971901,0,Kids
147634,RAINBOW MAGIC: THE TWILIGHT FAIRIES: 97: MAISIE THE MOONBEAM FAIRY,"Meadows, Daisy",English,B0971856,0,Kids
147635,RAINBOW MAGIC: THE TWILIGHT FAIRIES: 98: SABRINA THE SWEET DREAMS FAIRY,"Meadows, Daisy",English,B0971857,2,Kids
186610,ASHOKA (536),Meena Talim,English,B0972002,1,Kids
186802,JATAKA TALES - MONKEY STORIES (543),Meena Talim,English,B0972007,2,Kids
186637,TANAJI (682),Meena Talim,English,B0972005,2,Kids
334230,Maya Saves the Day,Meera Nair,English,B0973464,3,Kids
383489,Lord Ganeshas Feast of Laughter,Meera Uberoi,English,B0972639,0,Kids
186739,BIRBAL TO THE RESCUE (618),Meera Ugra,English,B0972003,2,Kids
186738,JATAKA TALES - THE HIDDEN TREASURE (617),Meera Ugra,English,B0972004,1,Kids
303951,Abandon: Underworld,Meg Cabot,English,B0973347,1,Teen
352805,Awaken : An Abandon Novel (English),Meg Cabot,English,B0973367,3,Teen
190467,Boy Meets Girl,Meg Cabot,English,B0973329,2,Teen
190468,Every Boy's Got One,Meg Cabot,English,B0973337,2,Teen
377701,Princess Diaries,Meg Cabot,English,B0972746,6,Teen
383743,Princess Diaries- 07: Party Princess,Meg Cabot,English,B0972754,1,Teen
382930,Princess Diaries: A Royal Disaster,Meg Cabot,English,B0972744,3,Teen
383744,Princess Diaries: Crowning Glory,Meg Cabot,English,B0972748,2,Teen
383740,Princess Diaries: Princess in the Middle,Meg Cabot,English,B0972745,3,Teen
383742,Princess Diaries: Prom Princess,Meg Cabot,English,B0972755,2,Teen
382929,Princess Diaries: Royal Rebel,Meg Cabot,English,B0972750,1,Teen
382931,Princess Diaries: Royal Scandal,Meg Cabot,English,B0972753,2,Teen
383741,Princess Diaries: Royally Obsessed,Meg Cabot,English,B0972749,1,Teen
190486,Size Doesn't Matter,Meg Cabot,English,B0973366,0,Teen
190461,The Guy Next Door,Meg Cabot,English,B0973812,2,Teen
189780,The Mediator 1: Love You to Death,Meg Cabot,English,B0973880,1,Teen
190472,The Mediator 2: High Stakes,Meg Cabot,English,B0973348,1,Teen
189781,The Mediator 3: Mean Spirits,Meg Cabot,English,B0973349,1,Teen
189782,The Mediator 4: Young Blood,Meg Cabot,English,B0973339,1,Teen
189776,The Mediator 5: Grave Doubts,Meg Cabot,English,B0973345,1,Teen
189779,The Mediator 6: Heaven Sent,Meg Cabot,English,B0973354,1,Teen
333960,Judy Moody: The Doctor Is In!,Megan Mcdonald,English,B0971312,1,Pre Teen
339413,Fox and Crow Are Not Friends,Melissa Wiley,English,B0971959,0,Kids
203777,Breaking Dawn,"Meyer, Stephenie",English,B0971374,3,Fiction
187388,ECLIPSE,"Meyer,Stephenie",English,B0971365,3,Teen
188522,NEW MOON,"Meyer,Stephenie",English,B01085866,2,Teen
188316,TWILIGHT,"Meyer,Stephenie",English,B0973055,10,Teen
221604,Paddington At Large,Michael Bond,English,B0973624,0,Kids
347961,Paddington on Top,Michael Bond,English,B0973479,0,Kids
383672,THE GODS OF GUILT,Michael Connelly,English,B0971495,2,Fiction
329705,The Lincoln Lawyer,Michael Connelly,English,B0971506,2,Fiction
361037,The Last Coyote (English),Michael Connelly ,English,B0971376,3,Fiction
366877,Jurassic Park,Michael Crichton,English,B0971228,3,Fiction
382600,The Big Short Film Tie-In,Michael Lewis,English,B0971715,0,Fiction
379480,Kensuke's Kingdom : Egmont Modern Classic,Michael Morpurgo,English,B0971286,0,Kids
377795,THE REVENANT,Michael Punke,English,B0970650,0,Fiction
215527,"Alchemyst, The",Michael Scott,English,B01085759,2,Teen
332587,The Enchantress (Book - 6),Michael Scott,English,B01085760,1,Teen
218121,The Magician,Michael Scott,English,B01085758,2,Teen
309746,The Sorceress,Michael Scott,English,B01085762,1,Teen
281205,The Warlock,Michael Scott,English,B01085763,2,Teen
364564,"The Berenstain Bear's - Valentine Love Bug : Includes 12 Valentine's Day Cards, Fold - Out Poster and Stickers (English)        (Paperback)",Mike Berenstain ,English,B0972178,0,KIds
348437,Greg's Microscope,Millicent Ellis Selsam,English,B0972174,2,Kids
195840,Whales: The Gentle Giants (Step 3),"Milton, Joyce",English,B0971846,6,Kids
214844,The Happy Man And His Dump Truck,Miryam,English,B0971581,3,Kids
322001,Bulbuli's Bamboo,Mita Bordoloi,English,B0973571,0,Kids
372368,The Magic Strings of Frankie Presto,Mitch Albom,English,B0971517,0,Fiction
333720,The Time Keeper,Mitch Albom,English,B0970554,1,Fiction
333720,The Time Keeper,Mitch Albom,English,B0971476,2,Fiction
202926,Puffin Classics : Anne Of The Island (3),"Montgomery, L M",English,B0971703,0,Kids
133328,Puffin Classics : Anne of Green Gables (,"Montgomery, L.M.",English,B0971711,3,Pre Teen
192670,Three Cups of Tea,"Mortenson, G",English,B0971088,1,Self Help
188835,MAKING BREAKTHROUGH INNOVATION HAPPEN,Munshi Porus,English,B0973326,2,Management
195844,Ben Franklin and the Magic Squares (Step 4),"Murphy, Frank",English,B0971968,4,Kids
194897,George Washington and the General's Dog (Step 3),"Murphy, Frank",English,B0971930,0,Kids
190719,"Better India, A Better World","Murthy, N.R.Narayana",English,B0971056,1,Autobiography
191415,Dollar Bahu,"Murty, Sudha",English,B0971719,6,Indian Writing
191210,Gently Falls the Bakula,"Murty, Sudha",English,B0971721,5,Indian Writing
191943,How I Taught My Grandmother To,"Murty, Sudha",English,B0977711,2,Indian Writing
191815,Mahashweta,"Murty, Sudha",English,B0971730,5,Indian Writing
192051,Old Man And His God,"Murty, Sudha",English,B0971732,2,Indian Writing
368449,Evergreen Stories of Akbar & Birbal : 15 Stories,N/A,English,B0973242,12,Kids
191583,Lolita,"Nabokov, Vladimir",English,B0971335,1,Classic
190720,Better Man,"Nair, Anita",English,B0970990,2,Indian Writing
191722,Ladies Coupe,"Nair, Anita",English,B0970988,2,Indian Writing
167967,THE BOSS IS NOT YOUR FRIEND,"Nair, Vijay",English,B0981500,0,Management
198164,What did you see?,Nandini Nayar,English,B0973580,2,Kids
382602,Think & Grow Rich : The Secret to Freedom and Success (English)        (Paperback),Napoleon Hill,English,B0971292,0,Self Help
191821,Malgudi Adventures,Narayan R.K.,English,B0970460,3,Indian Writing
192019,Indian Epics Retold,"Narayan, R. K.",English,B0970973,4,Indian Writing
192475,Puffin Classics : Malgudi Schooldays,"Narayan, R.K.& Deshpande, Shashi (Intro.",English,B0970472,4,Pre Teen
190752,Black Swan: The Impact Of The Highly Improbable,Nassim Nicholas Taleb,English,B0970606,1,Management
