TITLE_ID,TITLE,AUTHOR,Language,BOOK_NO,TIMES_RENTED,Category�,ISBN
204400,BARBIE : I CAN BE A BALLERINA - 9781445435367,Unknown,English,B0973865,8,Kids,#N/A
204401,BARBIE : I CAN BE A HORSERIDER - 9781445435374,Unknown,English,B0973149,9,Kids,#N/A
210921,Beauty and the Beast,Unknown,English,B0971816,0,Kids,#N/A
475022,BEEMANUM HANUMANUM,Unknown,English,B01085587,0,Kids,#N/A
294666,Benjamin Franklin,Unknown,English,B0973125,0,Kids,#N/A
368519,Better Than Honey? and Other Stories,Unknown,English,B0973253,4,Kids,#N/A
383601,Bible Stories: Jesus arrested,Unknown,English,B0970595,1,Kids,#N/A
293570,Birbal goes to Burma,Unknown,English,B0971781,1,Kids,#N/A
293565,Birbal's Cleverness,Unknown,English,B0971790,1,Kids,#N/A
293564,Birbal's Khichdi,Unknown,English,B0971791,2,Kids,#N/A
368521,Bounce with Me! and Other Stories,Unknown,English,B0973248,9,Kids,#N/A
224254,Bruno Tells The Truth # 3,Unknown,English,B0973419,2,Kids,#N/A
316270,Bruno The Artist # 4,Unknown,English,B0973422,5,Kids,#N/A
311115,Bubble - Growing up with Bubble (12 Stories),Unknown,English,B01010798,17,Kids,#N/A
238465,Bubbles Goes to School,Unknown,English,B01085721,0,Kids,#N/A
382927,Chhota Bheem In Crash,Unknown,English,B0972935,3,Kids,#N/A
324589,Chhota Bheem In Puppy Love - Vol 81,Unknown,English,B0972958,3,Kids,#N/A
349043,CHILDRENS STORY LIBRARY 8T* DISNEY PIXAR MONSTERS INC,Unknown,English,B0973483,5,Kids,#N/A
349043,CHILDRENS STORY LIBRARY 8T* DISNEY PIXAR MONSTERS INC,Unknown,English,B0973875,2,Kids,#N/A
383360,Classic retold tom sawyer,Unknown,English,B0972879,8,Classic,#N/A
475085,COMIC CAPERS TOPPER,Unknown,English,B01085621,0,Kids,#N/A
383525,Dick whittington,Unknown,English,B0972660,1,Kids,#N/A
147913,DISNEY DUMBO THE MAGICAL STORY - 9781407599212,Unknown,English,B0973511,4,Kids,#N/A
204421,DISNEY FAIRIES CLASSIC STORY BOOK COLLECTION - 9781741925180,Unknown,English,B0973163,8,Kids,#N/A
475243,Dr. A.P.J ABDUL KALAM VAZHKAI VARALARU,Unknown,English,B01085906,0,Kids,#N/A
341555,EARLY READER BARBIE SISTERS SLUMBER PARTY,Unknown,English,B0973256,6,Kids,#N/A
248392,Emily�s New Coaches,Unknown,English,B01085626,0,Kids,#N/A
368447,Evergreen More Stories of Grimms & Andersen,Unknown,English,B0973240,1,Kids,#N/A
383477,everyday english english beginners,Unknown,English,B0971038,0,Kids,#N/A
202411,Favourite Stories for Boys,Unknown,English,B0971095,0,Kids,#N/A
383476,First 100 words english for beginners,Unknown,English,B0971047,0,Kids,#N/A
383666,Flowers enviornment,Unknown,English,B0971776,0,Kids,#N/A
293572,Force of Destruction,Unknown,English,B0971803,0,Kids,#N/A
368516,Forget Me Knot and Other Stories,Unknown,English,B0973249,3,Kids,#N/A
368503,"Funny Photo Phonics A Bee, A Deer & A Sheep",Unknown,English,B0973191,0,Kids,#N/A
368511,Funny Photo Phonics A Bug & a Nut,Unknown,English,B0973183,0,Kids,#N/A
368512,Funny Photo Phonics Eggs on legs,Unknown,English,B0973189,0,Kids,#N/A
368504,Funny Photo Phonics Gus & the Pup (English),Unknown,English,B0973229,0,Kids,#N/A
368507,Funny Photo Phonics Jims Bin (English),Unknown,English,B0973201,0,Kids,#N/A
368509,Funny Photo Phonics Sam the Ant,Unknown,English,B0973198,0,Kids,#N/A
368505,Funny Photo Phonics Ten pens for Meg,Unknown,English,B0973185,2,Kids,#N/A
287251,Gaj Gathaein,Unknown,English,B01030010,0,Kids,#N/A
294669,Galileo,Unknown,English,B0973115,2,Kids,#N/A
294675,Great heroes of India- Shivaji,Unknown,English,B0973079,3,Kids,#N/A
383523,guess what,Unknown,English,B0972671,0,Kids,#N/A
294686,Guru Nanak,Unknown,English,B0973075,2,Kids,#N/A
210924,Hansel and Gretel,Unknown,English,B0971812,0,Kids,#N/A
293583,Hanuman Ram's Loyal Friend,Unknown,English,B0971809,2,Kids,#N/A
382783,Horrible Science: Bulging Brains,Unknown,English,B0972741,0,Pre Teen,#N/A
382785,Horrible Science: Disgusting Digestion,Unknown,English,B0972740,0,Pre Teen,#N/A
382788,"Horrible Science: Space, Stars and Slimy Animals",Unknown,English,B0972739,3,Pre Teen,#N/A
349683,House at the Corner,Unknown,English,B0971861,2,Kids,#N/A
355099,In Bon Bibi's Forest,Unknown,English,B0973567,1,Kids,#N/A
311123,"Indian Legendds of wit,Homour",Unknown,English,B0973167,14,Kids,#N/A
293588,Jackal who Killed No Elephants,Unknown,English,B0971771,1,Kids,#N/A
475562,KANDHAMALAI MARMAM,Unknown,English,B01085767,1,Kids,#N/A
294676,Karna,Unknown,English,B0973087,3,Kids,#N/A
243617,Krishna,Unknown,English,B0973083,3,Kids,#N/A
383475,lady bird puss in boots,Unknown,English,B0971041,0,Kids,#N/A
383478,lady birds tales little red riding hood,Unknown,English,B0971035,1,Kids,#N/A
202912,Ladybird Minis : Colours and Shapes,Unknown,English,B0971030,0,Kids,#N/A
315775,Ladybird Sunstart: The Kite,Unknown,English,B0972682,0,Kids,#N/A
383473,ladybird tale the princes and the pe,Unknown,English,B0971071,2,Kids,#N/A
64226,Ladybird Tales : Chicken Licken (New),Unknown,English,B0971036,0,Kids,#N/A
64222,Ladybird Tales : Elves & The Shoemaker,Unknown,English,B0971067,0,Kids,#N/A
64212,Ladybird Tales : Magic Porridge Pot (New,Unknown,English,B0971044,2,Kids,#N/A
315794,Ladybird Tales : The Three Billy Goats G,Unknown,English,B0971045,0,Kids,#N/A
315781,Ladybird Tales: Puss in Boots,Unknown,English,B0970768,2,Kids,#N/A
315790,Ladybird Tales: The Enormous Turnip,Unknown,English,B0970763,2,Kids,#N/A
243608,Lakshmibai,Unknown,English,B0973074,2,Kids,#N/A
383668,Land transport,Unknown,English,B0971767,4,Kids,#N/A
383602,Large print 5 minutes panchatantra stories,Unknown,English,B0970550,11,Kids,#N/A
