TITLE_ID,TITLE,AUTHOR,BOOK_NO,TIMES_RENTED,ISBN,Category ,Price,Pub Year,Pages,Format
372837,Code to Zero,Ken Follett,B0971005,2,R9780330526791,0,,,,
252029,PROMISE IN A KISS,"Laurens, Stephanie",B0973063,2,978-8498726077,0,,,,
210910,SAVING GRACE,Garwood Julie,B0973273,2,#N/A,0,,,,
247989,STOP THE CLOCK,"Keene, Carolyn",B0971921,2,R9780689873362,0,,,,
374348,Goosebumps Most Wanted #8: Night of the Puppet People,R.L. Stine,B0972836,2,978-9351034124,0,,,,
294713,The Bullfrog and the cow,Macaw,B0973107,2,978-1603460354,0,,,,
372862,Jamuna,N/A,B0971411,2,R9788131906354,0,,,,
372860,Visit to the Zero,N/A,B0971417,2,R9788131919477,0,,,,
315773,Sunstart Readers: Lucky Dip: Sunstart Readers,W Murray,B0972680,2,#N/A,0,,,,
383978,Dreamy Sue and Other Stories,Pegasus,B0973446,2,#N/A,0,,,,
383969,5 In 1 Pegasus Bedtime Stories,Pegasus,B0973407,2,#N/A,0,,,,
382668,Growing Flowers,Pegasus,B0971382,2,R9788131919439,0,,,,
382666,Where are My Socks:,Pegasus,B0971425,2,R9788131906293,0,,,,
382664,Time to Get Up:,Pegasus,B0971424,2,R9788131906309,0,,,,
366589,A HELPING HAND AT MEALTIMES (English)        (Paperback),Pegasus,B0971400,2,978-8131908723,0,,,,
366583,BE PEACEFUL (English)        (Paperback),Pegasus,B0971398,2,978-8131908792,0,,,,
366546,GOING TO SCHOOL,Pegasus,B0971394,2,R9788131919460,0,,,,
348889,RAPUNZEL BED TIME STORIES,Pegasus,B0970561,2,R9788131909058,0,,,,
348423,Trucks,Pegasus,B0971777,2,R9788131913000,0,,,,
352627,Read & Shine Clean and Tidy (English),Pegasus,B0971407,2,R9788131908730,0,,,,
295272,FIFTY SHADES DARKER,E L James,B0971205,2,R9780099579922,0,,,,
203940,Big Nate Strikes Again,"Peirce, Lincoln",B0972880,2,#N/A,0,,,,
367803,Poongatru Thirumbuma,Ramanichandiran,B01085836,2,#N/A,0,,,,
304126,Magudapathi,Kalki,B0973775,2,#N/A,0,,,,
412934,What Your Doctor Doesn't Know About Nutrituion Medicine May be Killing You,Ray D Strand,B01028111,2,978-8186775813,0,,,,
371376,FYODOR AND THE DINOSAUR LEVEL,Not Found,B0973424,2,979-8172236297,0,,,,
371366,Arabian Nights with CD: Aladdin & his Wonderful Lamp,Not Found,B0973137,2,978-4550069960,0,,,,
353942,READ IT YOURSELF THE GINGERBREAD,Not Found,B0972664,2,R9780723272892,0,,,,
341522,ABU MONKEYS AROUND & A BRAND-NEW ACT,Not Found,B0973432,2,#N/A,0,,,,
341646,STORIES ABOUT HOPE,Not Found,B0973436,2,978-4550069960,0,,,,
341643,STORIES ABOUT FAIRNESS AND GOOD JUDGMENT,Not Found,B0973440,2,978-8171673407,0,,,,
424730,Vikram Betal Ki Prasidh Kahaniyan - Hindi,Unknown,B01030026,2,978-9350337318,0,,,,
383491,siddartha an indian tale,Unknown,B0971082,2,R9788172343682,0,,,,
383473,ladybird tale the princes and the pe,Unknown,B0971071,2,R9780718193430,0,,,,
381182,The Gruffalo,Unknown,B0971637,2,R9780333710937,0,,,,
383515,The ant and grasshopper,Unknown,B0970600,2,R9781409500766,0,,,,
383606,Lift and look at the park,Unknown,B0970553,2,R9781619639409,0,,,,
368505,Funny Photo Phonics Ten pens for Meg,Unknown,B0973185,2,R9789350493212,0,,,,
366541,OFF TO A PICNIC (English),Unknown,B0971389,2,R9788131919408,0,,,,
355952,RIY 3 : Aladdin        (Hardcover),Unknown,B0972686,2,R9780723280828,0,,,,
349683,House at the Corner,Unknown,B0971861,2,R9780753725573,0,,,,
349682,The Put-Em-Rights,Unknown,B0971866,2,R9780753725641,0,,,,
339329,TALES FROM PANCHTANTRA 7,Unknown,B0973013,2,978-1474800624,0,,,,
336422,Noun,Unknown,B0973080,2,978-9354194528,0,,,,
333652,MARKED,Unknown,B0971359,2,R9780349001128,0,,,,
315781,Ladybird Tales: Puss in Boots,Unknown,B0970768,2,R9781409311225,0,,,,
315790,Ladybird Tales: The Enormous Turnip,Unknown,B0970763,2,R9781409311218,0,,,,
294669,Galileo,Unknown,B0973115,2,978-1293013403,0,,,,
294719,The Lion and the Mouse,Unknown,B0973121,2,978-1472381965,0,,,,
294717,The hawk and the nightangle,Unknown,B0973120,2,978-1501118432,0,,,,
294716,The Hawk and the Crow,Unknown,B0973119,2,978-0152002572,0,,,,
243608,Lakshmibai,Unknown,B0973074,2,978-8192718293,0,,,,
244343,My Pretty Board Books - Opposites,Unknown,B0971012,2,R9781730180491,0,,,,
243877,What Is Your Name?,Unknown,B0973136,2,978-1098073107,0,,,,
243876,We Are Friends!,Unknown,B0973134,2,978-1535939713,0,,,,
243875,Little Teddy Can't Sleep Without You,Unknown,B0973135,2,978-0399226908,0,,,,
244065,My Pretty Board Books - My Body,Unknown,B0971010,2,R9781730180224,0,,,,
238185,My Pretty Board Books - Fruits & Vegetables,Unknown,B0971007,2,978-0241264973,0,,,,
238175,My Pretty Board Books - Animals & Birds,Unknown,B0971011,2,R9781730179808,0,,,,
223155,Animal Tales Of India,Unknown,B0972037,2,R9788184823813,0,,,,
224254,Bruno Tells The Truth # 3,Unknown,B0973419,2,#N/A,0,,,,
64212,Ladybird Tales : Magic Porridge Pot (New,Unknown,B0971044,2,R9781846469862,0,,,,
53253,Sorna Jalam,Indra Soundarrajan,B0973602,2,#N/A,0,,,,
319240,If I Ran the Circus,Seuss,B0972810,2,R9780007503056,0,,,,
191402,Discovery Of India,"Nehru, Jawaharlal",B0971739,2,R9780143031031,0,,,,
191781,Letters From a Father to His Daughter,"Nehru, Jawaharlal",B0970997,2,R9780670058167,0,,,,
189080,LIGHT ON YOGA,"Iyengar, B. K. S.",B0970609,2,R9788172235017,0,,,,
328506,A Thousand Splendid Suns,Khaled Hosseini,B0971154,2,978-1408844441,0,,,,
186658,KALPANA CHAWLA (736),Margie Sastry,B0972006,2,R9788190599009,0,,,,
193378,Cookie,"Wilson, Jacqueline",B0970444,2,R9780552558310,0,,,,
348711,A BIRTHDAY FOR FRANCES,Russell Hoban,B0972161,2,R9780060837976,0,,,,
352226,Third Option (English),Vince Flynn,B0973290,2,978-1849835619,0,,,,
383687,Moody Margaret Casts a Spell,Francesca Simon,B0971317,2,R9781444001174,0,,,,
191998,In An Antique Land - PB,"Ghosh, Amitav",B0971735,2,R9780143066491,0,,,,
345179,Right Here Right Now,Nikita Singh,B0971102,2,R9780143423072,0,,,,
208601,India After Gandhi(Pb),Ramachandra Guha,B0970971,2,R9780330505543,0,,,,
385582,Diary of a Wimpy Vampire: Prince of Dorkness,Tim Collins,B0977510,2,978-1843175247,0,,,,
349643,Adventures of a Wimpy Werewolf : Hairy But Not Scary,Tim Collins,B0977705,2,978-8129141842,0,,,,
442660,Thea Stilton And The Frozen Fiasco,Thea Stilton,B01085883,2,#N/A,0,,,,
195397,Msb: In The Arctic - A Book About Heat,Joanna Cole,B0972717,2,R9780590187244,0,,,,
195394,Msb: Gets Eaten - A Book About Food Chains,Joanna Cole,B0972724,2,#N/A,0,,,,
195393,Msb: Gets Cold Feet - A Book About Warm,Joanna Cole,B0972726,2,R9780590397247,0,,,,
195391,Msb: Gets Ants In Its Pants - A Book About Ants,Joanna Cole,B0972719,2,978-8194906476,0,,,,
196302,Msb: Ups & Downs - A Book About Floating & Sinkin,Joanna Cole,B0972715,2,978-3639210873,0,,,,
380457,The Teddy Bear's Tail,Enid Blyton,B0971893,2,978-0753726693,0,,,,
371491,The Six Red Wizards,Enid Blyton,B0973823,2,978-1841350738,0,,,,
350406,All Aboard! The Family Series Collection,Enid Blyton,B0970981,2,R9781405269056,0,,,,
353473,NAWC 4 : Giantland : Giantland (English),Enid Blyton,B0970461,2,R9781405270397,0,,,,
353508,NAWC 2 : The Land of Mythical Creatures : The Land of Mythical Creatures (English),Enid Blyton,B0970467,2,978-1425811662,0,,,,
353502,Good Idea; Amelia Jane! (English),Enid Blyton,B0970946,2,R9781405269902,0,,,,
353500,Summer Term at Malory Towers (English),Enid Blyton,B0972630,2,R9781405270106,0,,,,
353477,Naughty Amelia Jane (English),Enid Blyton,B0970955,2,R9781405269919,0,,,,
306345,Do Look Out Noddy,Enid Blyton,B0973801,2,978-0261672482,0,,,,
294313,Noddy And His Car,Enid Blyton,B0973797,2,978-0361071772,0,,,,
340177,The Curious Incident of the Dog in the Night-time,Mark Haddon,B0971610,2,978-0099572831,0,,,,
321177,India Unbound from Independence to the Global Information Age,Gurcharan Das,B0971052,2,978-0143419259,0,,,,
315746,The Difficulty of Being Good: On the Subtle Art of Dharma,Gurcharan Das,B0971103,2,978-4550069960,0,,,,
360359,14th Deadly Sin,"Patterson, James",B0970914,2,R9781784751906,0,,,,
194087,Ring for Jeeves,"Wodehouse, P G",B0971248,2,R9780099513926,0,,,,
193353,The Client,"Grisham, John",B0971238,2,978-0099537083,0,,,,
196891,"Testament, The","Grisham, John",B0971261,2,978-0099245025,0,,,,
189357,THERE'S A WOCKET IN MY POCKET- Blue Back,"Seuss, Dr",B0972814,2,R9780007414154,0,,,,
193415,The Present,"Johnson, Spencer",B0971485,2,978-0553817959,0,,,,
114959,PHANTOMS IN THE BRAIN,"Ramachandran, V. S.",B0970626,2,R9780007253890,0,,,,
189397,SKY IS FALLING,"Sheldon, Sidney",B0972160,2,R9788172236076,0,,,,
189394,OTHER SIDE OF MIDNIGHT,"Sheldon, Sidney",B0972149,2,R9788172234935,0,,,,
189393,OTHER SIDE OF ME,"Sheldon, Sidney",B0972143,2,R9780007228003,0,,,,
189386,DOOMSDAY CONSPIRACY,"Sheldon, Sidney",B0972817,2,R9788172234836,0,,,,
189383,ARE YOU AFRAID OF THE DARK?,"Sheldon, Sidney",B0970359,2,R9780007199068,0,,,,
