TITLE_ID,TITLE,AUTHOR,Language,BOOK_NO,TIMES_RENTED,Categoryï¿½,ISBN
373622,This Book is Not Good for You,Pseudonymous Bosch,English,B0972606,3,Teen,978-1409583844
203111,"Last Don, The","Puzo, Mario",English,B0971231,2,Fiction,978-0091885434
188359,WHAT HAPPENS IN LONDON,"Quinn, Julia",English,B0973061,1,Romance,978-8492916078
187159,BRIGHTER THAN THE SUN,"Quinn,Julia",English,B0973621,1,Romance,978-8496711778
187327,DANCING AT MIDNIGHT,"Quinn,Julia",English,B0973056,2,Romance,978-8496711402
188005,HOW TO MARRY A MARQUIS,"Quinn,Julia",English,B0973560,1,Romance,978-8496711556
187614,LOST DUKE OF WYNDHAM,"Quinn,Julia",English,B0973561,2,Romance,978-0061578885
187666,MINX,"Quinn,Julia",English,B0973059,2,Romance,978-0749939144
187680,"MR CAVENDISH,I PRESUME","Quinn,Julia",English,B0973062,2,Romance,978-1415960714
187819,ROMANCING MR BRIDGERTON,"Quinn,Julia",English,B0973051,1,Romance,978-8416327850
187849,SECRET DIARIES OF MISS MIRANDA,"Quinn,Julia",English,B0973064,1,Romance,978-8415870746
188289,TO CATCH AN HEIRESS,"Quinn,Julia",English,B0973046,1,Romance,978-8496711617
188612,WHEN HE WAS WICKED,"Quinn,Julia",English,B0973048,1,Romance,978-8416327874
214168,Ramayana,R K Narayan,English,B0970972,2,Spritual,978-0140255645
194048,Gb #02 Stay Out Of The Basement,R L Stine,English,B0972837,4,Pre Teen,978-8129141842
194049,Gb #03 Monster Blood,R L Stine,English,B0972833,1,Pre Teen,978-4550069960
194051,Gb #05 The Curse Of The Mummy'S Tomb,R L Stine,English,B0970440,2,Pre Teen,978-4550069960
194052,Gb #06 Lets Get Invisible,R L Stine,English,B0972853,3,Pre Teen,978-9350098455
194053,Gb #07 Night Of The Living Dummy,R L Stine,English,B0972829,3,Pre Teen,978-4550069960
194054,Gb #08 Girl Who Cried Monster,R L Stine,English,B0972828,5,Pre Teen,#N/A
194055,Gb #09 Welcome To Camp Nightmare,R L Stine,English,B0972841,2,Pre Teen,978-8129141842
194057,Gb #11 The Haunted Mask,R L Stine,English,B0972854,2,Pre Teen,978-8129141842
194059,Gb #13 Piano Lessons Can Be Murder,R L Stine,English,B0972848,2,Pre Teen,978-1472381941
194060,Gb #14 The Werewolf Of Fever Swamp,R L Stine,English,B0972838,2,Pre Teen,978-0312577223
194066,Gb #20 The Scarecrow Walks At Midnight,R L Stine,English,B0972839,4,Pre Teen,978-8188695102
194069,Gb #23 Return Of The Mummy,R L Stine,English,B0972842,1,Pre Teen,978-1408855706
194078,Gb #30 It Came From Beneath The Sink!,R L Stine,English,B0972852,1,Pre Teen,#N/A
194079,Gb #31 Night Of The Living Dummy Ii,R L Stine,English,B0970455,2,Pre Teen,978-8129141842
194273,GB #36 THE HAUNTED MASK II,R L Stine,English,B0972840,2,Pre Teen,978-1472381866
194274,Gb #37 The Headless Ghost,R L Stine,English,B0972845,4,Pre Teen,#N/A
194277,Gb #40 Night Of The Living Dummy Iii,R L Stine,English,B0970451,2,Pre Teen,#N/A
194281,Gb #44 Say Cheese And Die-Again!,R L Stine,English,B0972831,2,Pre Teen,#N/A
194282,Gb #45 Ghost Camp,R L Stine,English,B0972849,5,Pre Teen,978-0590568821
194283,Gb #46 How To Kill A Monster,R L Stine,English,B0970439,2,Pre Teen,978-4550069960
194286,Gb #49 Vampire Breath,R L Stine,English,B0972843,2,Pre Teen,978-8129141842
194289,Gb #52 How I Learned To Fly,R L Stine,English,B0972830,3,Pre Teen,978-8129141842
194291,Gb #54 Dont Go To Sleep,R L Stine,English,B0972850,4,Pre Teen,978-9381626344
194293,Gb #56 Curse Of Camp Coldlake,R L Stine,English,B0970453,3,Pre Teen,978-1472381941
194294,Gb #57 My Best Friend Is Invisible,R L Stine,English,B0972846,3,Pre Teen,978-9383125098
194380,Gb Horrorland#03 Monster Blood For Breakfast,R L Stine,English,B0972844,8,Pre Teen,978-1472381941
194383,Gb Horrorland#06 Whos Your Mummy?,R L Stine,English,B0970448,5,Pre Teen,978-1472381965
194384,GB Horrorland: Escape from Horrorland,R L Stine,English,B0970452,3,Pre Teen,978-0140116151
194385,GB Horrorland: Help! We Have Strange Powers!,R L Stine,English,B0972832,2,Pre Teen,978-1472381941
194386,Gb Horrorland: My Friends Call Me Monster,R L Stine,English,B0972851,2,Pre Teen,978-1474800624
194388,GB Horrorland: The Streets of Panic Park,R L Stine,English,B0970456,5,Pre Teen,978-0439918800
194389,Gb Horrorland: Welcome To Camp Slither,R L Stine,English,B0970454,3,Pre Teen,978-8129141842
194592,Gb Series 2000 #19 Return To Ghost Camp,R L Stine,English,B0972847,2,Pre Teen,#N/A
194594,Gb Series 2000 #21 The Haunted Car,R L Stine,English,B0972834,2,Pre Teen,978-0140116151
194598,Gb Series 2000 #25 Ghost In The Mirror,R L Stine,English,B0970457,3,Pre Teen,978-0312577223
194371,GOOSEBUMPS: THE HAUNTED SCHOOL,R L Stine,English,B0970402,5,Pre Teen,978-0439798105
204333,Siri's Smile,R. Amarendran,English,B0973575,0,Kids,978-8181469526
366003,Malgudi Landscapes,R. K. Narayan ,English,B0972600,0,Indian Writing,978-0143425076
369356,Goosebumps The Movie : Monster Survival Guide (English)        (Paperback),R. L. Stine ,English,B0972862,2,Pre Teen,978-9351039778
369352,Goosebumps The Movie : Night of the Living Monsters (English)        (Paperback),R. L. Stine ,English,B0970513,1,Pre Teen,978-9351039754
369349,Goosebumps The Movie : The Movie Novel,R. L. Stine ,English,B0972835,2,Pre Teen,978-9351039747
205255,A Tiger For Malgudi,R.K.Narayan,English,B0970970,1,Indian Writing,978-8185986111
205256,Grandmother's Tale,R.K.Narayan,English,B0971640,2,Indian Writing,#N/A
6429,Malgudi Days - Short Stories,R.K.Narayan,English,B0971649,7,Indian Writing,978-0143330981
17461,Swami And Friends,R.K.Narayan,English,B0973510,6,Spritual,#N/A
145574,Talkative Man,R.K.Narayan,English,B0971647,0,Indian Writing,978-8185986128
205144,The English Teacher,R.K.Narayan,English,B0971645,7,Indian Writing,978-8185986036
205249,The Guide,R.K.Narayan,English,B0971641,2,Indian Writing,978-8185986074
205250,The Man Eater Of Malgudi,R.K.Narayan,English,B0970996,3,Indian Writing,#N/A
205250,The Man Eater Of Malgudi,R.K.Narayan,English,B0977851,0,Indian Writing,978-8185986296
205253,The Painter Of Signs,R.K.Narayan,English,B0970965,0,Indian Writing,978-8185986104
205251,The Vendor Of Sweets,R.K.Narayan,English,B0970966,0,Indian Writing,978-8122903027
205251,The Vendor Of Sweets,R.K.Narayan,English,B0977861,0,Indian Writing,978-8122903027
145588,The World Of Nagaraj,R.K.Narayan,English,B0971646,2,Indian Writing,978-0749394868
205254,Under The Banyan Tree And Other Stories,R.K.Narayan,English,B0970967,1,Indian Writing,978-8185986142
374348,Goosebumps Most Wanted #8: Night of the Puppet People,R.L. Stine,English,B0972836,2,Pre Teen,978-9351034124
247298,Look for the Lorax (Step 1),"Rabe, Tish",English,B0971837,1,Kids,978-0375869778
247304,Now You See Me... (Seuss/Cat in the Hat) (Step 2),"Rabe, Tish",English,B0971939,0,Kids,978-0375867064
247321,Show me the Honey (Seuss/Cat in the Hat) (Step 3),"Rabe, Tish",English,B0971949,1,Kids,978-0375867163
285822,Gitanjali Song Offerings,Rabindranath Tagore,English,B0971328,0,Kids,978-1519682451
